,Title,Developer(s),Publisher(s),Regions released,Regions released,Regions released,Ref.
42,Actua Golf 2•Fox Sports Golf '99NA,Gremlin Interactive,"Gremlin InteractivePAL, Fox InteractiveNA",Unreleased,September 1997,"June 30, 1998",[14]
43,Actua Golf 3,Gremlin Interactive,Gremlin Interactive,Unreleased,1999,Unreleased,[15]
44,Actua Ice Hockey,Gremlin Interactive,"Gremlin InteractivePAL, KonamiJP","December 17, 1998",February 1998,Unreleased,[16]
45,Actua Ice Hockey 2,Gremlin Interactive,Gremlin Interactive,Unreleased,"April 1, 1999",Unreleased,[17]
46,Actua Soccer•Ran SoccerDE•VR Soccer '96NA,Gremlin Interactive,"Gremlin InteractivePAL, Naxat SoftJP, InterplayNA","July 19, 1996",March 1996,"October 31, 1996",[18]
47,Actua Soccer 2,Gremlin Interactive,Gremlin Interactive,Unreleased,November 1997,Unreleased,[19]
48,Actua Soccer 3,Gremlin Interactive,Gremlin Interactive,Unreleased,December 1998,Unreleased,[20]
49,Actua Soccer Club Edition,Gremlin Interactive,Gremlin Interactive,Unreleased,May 1997,Unreleased,[21]
50,Actua Tennis,Gremlin Interactive,Gremlin Interactive,Unreleased,1998,Unreleased,[22]
51,Ad Lib Ouji ...to Fuyukai na Nakama-tachi!?,Nippon Telenet,Nippon Telenet,"December 19, 2002",Unreleased,Unreleased,
52,Addie no Okurimono,SCEI,SCEI,"February 3, 2000",Unreleased,Unreleased,
53,Adiboo & Paziral's Secret,Coktel Vision,Vivendi Games,Unreleased,"October 24, 2003",Unreleased,
54,Adibou Et L'Ombre Verte,Coktel Vision,SCEE,Unreleased,"October 2, 2001",Unreleased,
55,Adidas Power Soccer,Psygnosis,Psygnosis,Unreleased,June 1996,"August 31, 1996",[23]
56,Adidas Power Soccer 2,Shen,Psygnosis,Unreleased,1998,Unreleased,
57,Adidas Power Soccer International 97,Psygnosis,Psygnosis,Unreleased,April 1997,Unreleased,[24]
58,Adidas Power Soccer 98,Shen,Psygnosis,Unreleased,June 1998,"June 24, 1998",[25]
59,Advan Racing,Atlus,Atlus,"November 19, 1998",Unreleased,Unreleased,[26]
60,Advanced V.G.,TGL,TGL,"April 19, 1996",Unreleased,Unreleased,[27]
61,Advanced V.G. 2,TGL,TGL,"September 23, 1998",Unreleased,Unreleased,[28]
62,The Adventure of Little Ralph,New Corporation,"Ertain Corporation, New Corporation","June 3, 1999",Unreleased,Unreleased,
63,"The Adventures of Lomax•LomaxPAL,JP",Psygnosis,Psygnosis,"December 18, 1997",November 1996,"October 22, 1996",[29]
64,AFL 99,EA Sports,EA Sports,Unreleased,June 1999,Unreleased,[30]
65,Afraid Gear,Office Create,Asmik Ace Entertainment,"October 29, 1998",Unreleased,Unreleased,
66,Afraid Gear Another,Office Create,Office Create,"June 14, 2001",Unreleased,Unreleased,
67,Afro Inu: The Puzzle,Axes Art Amuse,Bandai,"October 25, 2001",Unreleased,Unreleased,
68,Agent Armstrong•Agent Armstrong: Himitsu Shirei DaisakusenJP,King of the Jungle,"Virgin InteractivePAL, W.I.ZJP","December 4, 1997","September 18, 1997",Unreleased,[31]
69,Agile Warrior F-111X•Agile WarriorJP,Black Ops Entertainment,Virgin Interactive,"January 13, 1996",March 1996,"November 21, 1995",[32]
70,AI Mahjong 2000,i4,i4,"November 25, 1999",Unreleased,Unreleased,
71,AI Mahjong Selection,i4,i4,"July 25, 2002",Unreleased,Unreleased,
72,AI Shogi,Soft Bank,Soft Bank,"November 22, 1995",Unreleased,Unreleased,
73,AI Shogi 2,GameBank,GameBank,"December 25, 1997",Unreleased,Unreleased,
74,AI Shogi 2 Deluxe,i4,i4,"September 22, 1999",Unreleased,Unreleased,
75,AI Shogi Selection,Hamster,Hamster,"May 23, 2002",Unreleased,Unreleased,
76,Air Combat•Ace CombatJP,"Namco, Arsys Software","Namco, SCEEPAL","June 30, 1995","September 29, 1995","September 9, 1995",[33]
77,Air Hockey•Hooockey!!JP,Mud Duck Productions,"SuccessJP, Midas Interactive EntertainmentPAL, Mud Duck ProductionsNA","May 25, 2000","April 5, 2002","September 10, 2003",[34]
78,Air Management '96,Koei,Koei,"March 22, 1996",Unreleased,Unreleased,
79,Air Race Championship,Metro,Xing Entertainment,"March 4, 1999",Unreleased,Unreleased,
80,AirGrave,Santos,Santos,"November 29, 1996",Unreleased,Unreleased,
81,Aironauts,Red Lemon Studios,Red Storm Entertainment,Unreleased,August 1999,Unreleased,
82,The Airs,Victor Interactive Software,Victor Interactive Software,"March 25, 1999",Unreleased,Unreleased,
83,Aishiau Kotoshika Dekinai,Coconuts Japan,Coconuts Japan,"February 11, 1998",Unreleased,Unreleased,
84,Aitakute... Your Smiles in My Heart,KCET,Konami,"March 16, 2000",Unreleased,Unreleased,
85,Akagawa Jirou: Majotachi no Nemuri: Fukkatsusai,Open Sesame,Victor Interactive Software,"April 15, 1999",Unreleased,Unreleased,
86,Akagawa Jirou: Yasoukyoku,Open Sesame,Victor Interactive Software,"July 16, 1998",Unreleased,Unreleased,
87,Akagawa Jirou: Yasoukyoku 2,Office Create,Victor Interactive Software,"June 14, 2001",Unreleased,Unreleased,
88,Akagi: Touhaiden,"Micronet co., Ltd.","Micronet co., Ltd.","January 13, 1996",Unreleased,Unreleased,
89,Akazu no Ma,Visit,Visit,"May 9, 1997",Unreleased,Unreleased,
90,Akuji the Heartless,Crystal Dynamics,Eidos Interactive,Unreleased,February 1999,"June 24, 1998",[35][36]
91,Alex Ferguson's Player Manager 2001PAL•Guy Roux Manager 2001FR•DSF Fussball Manager 2001DE,Anco Software,"The 3DO CompanyNA, UbisoftDE,FR",Unreleased,"November 24, 2000PAL December 2000FR June 21, 2001DE",Unreleased,[37]
92,Alex Ferguson's Player Manager 2002PAL•DSS Fussball Manager 2002DE,Anco Software,Ubisoft,Unreleased,"May 14, 2002DE May 17, 2002PAL",Unreleased,
93,Alexi Lalas International Soccer•Bomba:98PAL•Golden Goal 98PAL•Mundial:98PAL•Three LionsPAL,Z-Axis,"BMG InteractivePAL, Take-Two InteractivePAL,NA (Alexei Lalas, Golden Goal 98)",Unreleased,"April 17, 1998","April 28, 1999",[38]
94,Alfred Chicken,Möbius Entertainment,SCEE,Unreleased,"2002AUS April 12, 2002PAL",Unreleased,[39]
95,Alice in Cyberland,Glams,Glams,"December 20, 1996",Unreleased,Unreleased,
96,Alien: Resurrection,Argonaut Games,Fox Interactive,Unreleased,"December 1, 2000","October 10, 2000",
97,Alien Trilogy,Probe Entertainment,Acclaim Entertainment,"May 31, 1996",March 1996,"February 29, 1996",[40]
98,ALIVE,General Entertainment Co. Ltd.,General Entertainment Co. Ltd.,"August 6, 1998",Unreleased,Unreleased,
99,All Japan Woman Pro Wrestling,TEN,GW,"July 23, 1998",Unreleased,Unreleased,[41]
100,All-Star 1997 featuring Frank Thomas,Acclaim Entertainment,Acclaim Entertainment,Unreleased,"June 30, 1997","July 10, 1997",[42][43]
101,All-Star Action,Mere Mortals,Phoenix Games,Unreleased,2003,Unreleased,
102,All-Star Mahjong: Kareinaru Shoubushi Kara no Chousen,Pony Canyon,Pony Canyon,"September 18, 1997",Unreleased,Unreleased,
103,All-Star Racing,Mud Duck Productions,Mud Duck Productions,Unreleased,"October 6, 2002","October 6, 2002",[44][45]
104,All-Star Racing 2,Mud Duck Productions,Mud Duck Productions,Unreleased,"July 2, 2003","April 24, 2003",
105,All-Star Slammin' D-ballNA•Simple 1500 Series Vol. 76: The Dodge BallJP•Super Slammin' DodgeballEU,Access,"D3JP, AgetecNA, Midas Interactive EntertainmentPAL","October 25, 2001","May 2, 2003","February 12, 2002",
106,All Star Soccer,Eidos Interactive,Eidos Interactive,Unreleased,"August 1, 1997",Unreleased,
107,All Star Tennis '99•Yannick Noah All Star Tennis '99FR,Smart Dog,Ubisoft,"August 31, 1999","November 20, 1998",Unreleased,[46]
108,All Star Tennis 2000,Aqua Pacific Ltd.,Ubisoft,Unreleased,"August 18, 2000",Unreleased,
109,All Star Watersports,Phoenix Games,Phoenix Games,Unreleased,"March 14, 2003",Unreleased,
110,Allied General,SSI,SSI,Unreleased,"June 1, 1997","October 10, 1996",[47]
111,Alnam no Kiba: Juuzoku Juuni Shinto Densetsu,Right Stuff,Right Stuff,"February 2, 1996",Unreleased,Unreleased,
112,Alnam no Tsubasa: Shoujin no Sora no Kanata e,Right Stuff,Right Stuff,"December 25, 1997",Unreleased,Unreleased,
113,Alone in the Dark: One-Eyed Jack's RevengeNA•Alone in the Dark: Jack is BackPAL,Infogrames,Infogrames (Europe) I*Motion (North America),"November 8, 1996","May 3, 1996","August 22, 1996",
114,Alone in the Dark: The New Nightmare,Darkworks SA,Infogrames,Unreleased,"May 18, 2001","June 18, 2001",[48]
115,Alundra•The Adventures of AlundraPAL,Matrix Software,"SCEIJP, Working DesignsNA, PsygnosisPAL","April 11, 1997","June 5, 1998","January 8, 1998",[49]
116,Alundra 2: A New Legend Begins,Matrix Software,"SCEIJP, Activision","November 18, 1999",June 2000,"February 29, 2000",[50]
117,The Amazing Virtual Sea-Monkeys,Creature Labs,Kemco,Unreleased,"June 19, 2002","December 20, 2002",
118,America Oudan Ultra-Quiz,Pegasus Japan,Victor Interactive Software,"February 23, 1996",Unreleased,Unreleased,
119,American Pool,Midas Interactive,Midas Interactive,Unreleased,"June 13, 2003","June 5, 2003",
120,Amerzone,Microids,Casterman,Unreleased,"December 13, 1999",Unreleased,
121,Anastasia,Midas Interactive,Midas Interactive,Unreleased,"April 12, 2001",Unreleased,
122,Ancient Roman: Power of Dark Side,Nihon Bussan,Nihon Bussan,"April 23, 1998",Unreleased,Unreleased,
123,Andretti Racing,Electronic Arts,Electronic Arts,Unreleased,October 1996,"November 30, 1996",[51]
124,Angel Blade: Neo Tokyo Guardians,Nippon,Ichi Soft,"July 3, 1997",Unreleased,Unreleased,
125,Angel Graffiti: Anathe no Profile,Coconuts Japan,Coconuts Japan,"July 26, 1996",Unreleased,Unreleased,
126,Angelique Duet,Koei,Koei,"July 30, 1998",Unreleased,Unreleased,
127,Angelique History,Koei,Koei,"March 30, 2000",Unreleased,Unreleased,
128,Angelique Special,Koei,Koei,"March 29, 1996",Unreleased,Unreleased,
129,Angelique Special 2,Koei,Koei,"April 11, 1997",Unreleased,Unreleased,
130,Angelique: Tenkū no Requiem,Koei,Koei,"February 4, 1999",Unreleased,Unreleased,
131,Angolmois 99,Success,Success,"August 26, 1999",Unreleased,Unreleased,
132,Animal Football,The Code Monkeys,Phoenix Games,Unreleased,"July 26, 2003",Unreleased,
133,Animal Snap,Ignition,Ignition,Unreleased,"September 19, 2003",Unreleased,
134,Animaniacs: Ten Pin Alley,Saffire,ASC Games,Unreleased,Unreleased,"January 10, 1998",
135,Animetic Story Game 1: Cardcaptor Sakura,Arika,Arika,"August 5, 1999",Unreleased,Unreleased,
136,Animorphs: Shattered Reality,SingleTrac,Infogrames,Unreleased,Unreleased,"August 30, 2000",
137,Ankh: Tutankhamen no Nazo,Ray Corporation,Ray Corporation,"November 27, 1997",Unreleased,Unreleased,
138,Anoko Doko Noko,Success,Success,"August 6, 1998",Unreleased,Unreleased,
139,Another Memories,Starlight Marry,Hearty Robin,"June 18, 1998",Unreleased,Unreleased,
140,Another Mind,Squaresoft,Squaresoft,"November 12, 1998",Unreleased,Unreleased,
141,Ao no Roku-gō,Bandai,Bandai,"September 28, 2000",Unreleased,Unreleased,
142,Ao Zora to Nakama Tachi: Yume no Bouken Plus,MTO,MTO,"November 13, 2003",Unreleased,Unreleased,
143,Aoki Ookami to Shiroki Mejika: Genchou Hishi,Koei,Koei,"September 17, 1998",Unreleased,Unreleased,
144,Ape Escape•Saru! Get You!JP,Sony Computer Entertainment Inc.,Sony Computer Entertainment Inc.,"June 25, 1999","July 2, 1999","May 31, 1999",
145,Apocalypse,Neversoft,"ActivisionPAL,NA, SuccessJP","September 22, 1999",November 1998,"November 18, 1998",
146,Aqua GT,East Point Software,Take 2 Interactive,Unreleased,"January 26, 2001",Unreleased,
147,Aqua Paradise: Boku no Suizokukan,Open Sesame,Victor Interactive Software,"December 28, 2000",Unreleased,Unreleased,
148,Aquanaut's Holiday,Artdink,"ArtdinkJP, SCEANA, SCEEPAL","June 30, 1995",October 1995,"November 21, 1996",
149,Aquanaut no Kyuujitsu: Memories of Summer 1996,Artdink,Artdink,"July 19, 1996",Unreleased,Unreleased,
150,Aquanaut no Kyuujitsu 2,Artdink,Artdink,"July 1, 1999",Unreleased,Unreleased,
151,Aquarian Age: Tokyo Wars,Broccoli,ESP Software,"May 25, 2000",Unreleased,Unreleased,
152,Arc the Lad,SCEI,SCEI/Working Designs,"June 30, 1995",Unreleased,Unreleased,
153,Arc the Lad II,ARC Entertainment,SCEI,"November 1, 1996",Unreleased,Unreleased,
154,Arc the Lad III,ARC Entertainment,SCEI,"October 28, 1999",Unreleased,Unreleased,
155,Arc the Lad: Monster Game with Casino Game,ARC Entertainment,SCEI,"July 31, 1997",Unreleased,Unreleased,
156,Arcade Hits: Crazy Climber,Nichibutsu,Hamster,"May 23, 2002",Unreleased,Unreleased,
157,Arcade Hits: Moon Cresta,Nihon Bussan,Nihon Bussan,"June 20, 2002",Unreleased,Unreleased,
158,Arcade Hits: Raiden,Hamster,Hamster,"November 28, 2002",Unreleased,Unreleased,
159,Arcade Party Pak,Digital Eclipse Software,Midway Games,Unreleased,"February 23, 2001","November 8, 1999",
160,Arcade's Greatest Hits: The Atari Collection 1,Digital Eclipse Software,Midway Games,Unreleased,December 1997,"December 10, 1996",
161,Arcade's Greatest Hits: The Atari Collection 2,Digital Eclipse Software,Midway Games,Unreleased,"April 17, 1998","February 1, 1998",
162,Arcade's Greatest Hits: The Midway Collection 2,Digital Eclipse Software,GT Interactive,Unreleased,March 1998,"November 30, 1997",
163,Archer Mclean's 3D Pool,Awesome Studios,Ignition,Unreleased,"October 17, 2003",Unreleased,
164,Are! Mo Kore? Mo Momotarou,System Sacom,System Sacom,"October 4, 1996",Unreleased,Unreleased,
165,Area 51,Mesa Logic,"Time Warner Interactive, Soft BankJP","March 20, 1997",May 1997,"November 26, 1996",
166,Ark of Time,Trecision S.p.A.,Project Two Interactive BV,Unreleased,July 1998,Unreleased,
167,Arkana Senki Ludo,Falcon,Pai,"July 9, 1998",Unreleased,Unreleased,
168,Arkanoid Returns,Taito Corporation,Taito Corporation,"August 7, 1997",Unreleased,Unreleased,
169,Armed Fighter,Banpresto,Banpresto,"March 4, 1999",Unreleased,Unreleased,
170,Armored Core,FromSoftware,"FromSoftwareJP, AgetecNA, Sony Computer EntertainmentPAL","July 10, 1997","June 1, 1998","October 31, 1997",[52]
171,Armored Core: Master of Arena,FromSoftware,"FromSoftwareJP, AgetecNA","February 4, 1999",Unreleased,"March 15, 2000",
172,Armored Core: Project Phantasma,FromSoftware,"FromSoftwareJP, ASCII EntertainmentNA","December 4, 1997",Unreleased,"September 30, 1998",
173,Armorines: Project S.W.A.R.M.,Acclaim Studios London,Acclaim Entertainment,"July 13, 2000","November 23, 2001","May 4, 2000",
174,Army Men 3D,The 3DO Company,The 3DO Company,Unreleased,"January 28, 2000","February 28, 1999",
175,Army Men: Air Attack,The 3DO Company,The 3DO Company,Unreleased,"July 28, 2000","February 11, 1999",
176,Army Men: Air Attack 2,The 3DO Company,The 3DO Company,Unreleased,"November 24, 2000","September 26, 2000",
177,Army Men: Green Rogue,The 3DO Company,The 3DO Company,Unreleased,"April 27, 2001","April 13, 2001",
178,Army Men: Sarge's Heroes,The 3DO Company,The 3DO Company,Unreleased,"August 17, 2000","February 23, 2000",
179,Army Men: Sarge's Heroes 2,The 3DO Company,The 3DO Company,Unreleased,"November 24, 2000","November 21, 2000",
180,Army Men: World War•Army Men: Operation MeltdownPAL,The 3DO Company,The 3DO Company,Unreleased,"June 10, 2000","April 4, 2000",
181,Army Men: World War - Final Front•Army Men: Lock N' LoadPAL,The 3DO Company,The 3DO Company,Unreleased,"March 30, 2001","March 30, 2001",
182,"Army Men: World War - Land, Sea, Air",The 3DO Company,The 3DO Company,Unreleased,"November 3, 2000","September 15, 2000",
183,Army Men: World War - Team Assault•Army Men: Team AssaultPAL,The 3DO Company,The 3DO Company,Unreleased,"January 1, 2002","November 28, 2001",
184,Art Camion Geijutsuden,TYO,TYO,"December 16, 1999",Unreleased,Unreleased,
185,Art Camion Sugorokuden,Affect,Affect,"April 27, 2000",Unreleased,Unreleased,
186,Arthur! Ready to Race,Mattel,The Learning Company,Unreleased,Unreleased,"December 6, 2000",
187,Arthur to Astaroth no Nazomakaimura: Incredible Toons,Magical Formation,Capcom,"August 30, 1996",Unreleased,Unreleased,
188,Arubarea no Otome ~Uruwashi no Seishikitachi~,NCS,NCS,"October 8, 1998",Unreleased,Unreleased,
189,Ason de Chinou Up,Gakken,Gakken,"December 11, 2003",Unreleased,Unreleased,
190,Asonde Aiueo,Gakken,Gakken,"May 29, 2003",Unreleased,Unreleased,
191,Asonde Kazu Suuji,Gakken,Gakken,"May 29, 2003",Unreleased,Unreleased,
192,Assault: Retribution,Candle Light Studios,"TelstarPAL, MidwayNA",Unreleased,September 1998,"November 19, 1998",
193,Assault Rigs,Psygnosis,Psygnosis,"October 4, 1996",February 1996,"February 1, 1996",
194,Assault Suits Valken 2,TamTam,NCS,"July 29, 1999",Unreleased,Unreleased,
195,Asterix,Sourcery,Infogrames,Unreleased,March 1999,Unreleased,
196,Asterix & Obelix Take On Caesar,Tek 5,Cryo Interactive,Unreleased,"June 1, 2000",Unreleased,
197,Asterix: Mega Madness,Unique Development Studios,Infogrames,Unreleased,"June 29, 2001",Unreleased,
198,Asteroids,Activision,Syrox Developments,Unreleased,December 1998,"November 23, 1998",
199,Astronōka,System Sacom,Enix,"August 27, 1998",Unreleased,Unreleased,
200,Asuka 120% Final: Burning Fest. Final,Family Soft,Family Soft,"May 27, 1999",Unreleased,Unreleased,
201,Asuka 120% Excellent: Burning Festival,Fill-in-Cafe,SCEI,"May 9, 1999",Unreleased,Unreleased,
202,Asuka 120% Special Burning Fest,Fill-in-Cafe,Family Soft,"March 29, 1996",Unreleased,Unreleased,
203,Asuncia - Majou no Jubaku,E.O. Imagination,Xing Entertainment,"November 27, 1997",Unreleased,Unreleased,
204,Atari Anniversary Edition Redux,Digital Eclipse Software,Infogrames,Unreleased,"March 1, 2002","November 26, 2001",
205,Atelier Elie: The Alchemist of Salburg 2,Gust,Gust,"December 17, 1998",Unreleased,Unreleased,
206,Athena: Awakening from the Ordinary Life,Vistec,SNK,"March 11, 1999",Unreleased,Unreleased,
207,Athena no Kateiban: Family Game,Athena,Athena,"March 22, 1996",Unreleased,Unreleased,
208,Atlantis: The Lost Empire,Eurocom Entertainment Software,SCEA,Unreleased,"October 19, 2001","June 14, 2001",
209,"Atlantis, the Lost Continent",The Code Monkeys,Phoenix Games,Unreleased,2003,Unreleased,
210,Atlantis: The Lost Tales,Cryo Interactive,Cryo Interactive,Unreleased,October 1998,Unreleased,
211,Attack of the Saucerman,Psygnosis,SCEE,Unreleased,"June 1, 1999",Unreleased,
212,ATV Mania,Gotham Games,Take 2 Interactive,Unreleased,"August 8, 2003","July 23, 2003",
213,ATV Racers,Midas Interactive,Bethesda Software,Unreleased,"June 13, 2003","June 20, 2003",
214,ATV: Quad Power Racing,Climax Studios,"Acclaim Entertainment, Acclaim JapanJP","December 21, 2000","October 13, 2000","August 24, 2000",
215,AubirdForce,Bandai,Bandai,"October 25, 1996",Unreleased,Unreleased,
216,AubirdForce After,Bandai,Bandai,"October 22, 1998",Unreleased,Unreleased,
217,Aura Battler Dunbine,Bandai,Bandai,"March 4, 2000",Unreleased,Unreleased,
218,Austin Powers Pinball,Gotham Games,Take 2 Interactive,Unreleased,"October 25, 2002","October 10, 2002",
219,Autobahn Raser II,Davilex,Davilex,Unreleased,1998,Unreleased,
220,Auto Destruct,Neurostone,Electronic Arts,Unreleased,December 1997,"December 26, 1997",[53]
221,Ayakashi Ninden Kunoichiban,Zero System,Shoeisha,"September 25, 1997",Unreleased,Unreleased,
222,Ayrton Senna Kart Duel,Gaps,"GapsJP, SunsoftPAL","September 16, 1996",December 1996,Unreleased,
223,Ayrton Senna Kart Duel 2,Gaps,"GapsJP, SunsoftPAL","November 20, 1997","January 15, 1997",Unreleased,
224,Ayrton Senna Kart Duel Special,Gaps,Gaps,"April 28, 1999",Unreleased,Unreleased,
225,Azito,Astec 21,Banpresto,"February 28, 1997",Unreleased,Unreleased,
226,Azito 2,Astec 21,Banpresto,"October 15, 1998",Unreleased,Unreleased,
227,Azito 3,Astec 21,Banpresto,"February 17, 2000",Unreleased,Unreleased,
228,Aztec: The Curse in the Heart of the City of Gold,Cryo Interactive,France Telecom Multimedia,Unreleased,"June 1, 2000",Unreleased,
229,Azumanga Donjyara Daioh,Ganbarion,Bandai,"April 18, 2002",Unreleased,Unreleased,
230,Azure Dreams,Konami,KCE Tokyo,"November 13, 1997",December 1998,"June 30, 1998",
231,B Senjou no Alice: Alice on Borderlines,Kodansha,Kodansha,"September 18, 1997",Unreleased,Unreleased,
232,B.L.U.E. Legend of Water,CAProduction,Hudson Soft,"July 9, 1998",Unreleased,Unreleased,
233,Baby Felix Tennis,LSP,LSP,Unreleased,"December 7, 2002",Unreleased,
234,Backgammon 2000,Oxford Softworks,Unbalance,"May 18, 2000",Unreleased,Unreleased,
235,"Backguiner ~Yomigaeru Yuushatachi~ ""Guiner Tenshou""",,,"July 30, 1998",Unreleased,Unreleased,
236,"Backguiner ACT-2 ~Yomigaeru Yuushatachi~ Hishou Hen ""Uragiri no Senjou""",,,"October 1, 1998",Unreleased,Unreleased,
237,Backstreet Billiards,Agenda,"ArgentJP, ASCII EntertainmentNA","July 30, 1998",Unreleased,"October 1, 1998",
238,Backyard Soccer•Junior Sports FootballPAL,Humongous Entertainment,Infogrames,Unreleased,"November 13, 2001","September 28, 2001",
239,Bakuretsu Hunter: Mahjong Special,Banpresto,Banpresto,"October 25, 1996",Unreleased,Unreleased,
240,Bakuretsu Hunter: Sorezore no Omoi...Nowaan Chatte,Banpresto,Banpresto,"April 11, 1997",Unreleased,Unreleased,
241,Bakushou!! All Yoshimoto Quiz Ou Ketteisen DX,TOSE,TOSE,"December 15, 1995",Unreleased,Unreleased,
242,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,Human Entertainment,Human Entertainment,"June 25, 1998",Unreleased,Unreleased,
243,Bakusou Dekotora Densetsu 2: Otoko Jinsei Yume Ichiro,Spike,Spike,"December 16, 1999",Unreleased,Unreleased,
244,(Mini Yonku)/Mini 4WD) Bakusou Kyoudai: Let's & Go!! WGP Hyper Heat,C-Lab,Jaleco Entertainment,"November 20, 1997",Unreleased,Unreleased,
245,Bakusou Kyoudai: Let's & Go!! Eternal Wings,Jaleco Entertainment,Jaleco Entertainment,"July 30, 1998",Unreleased,Unreleased,
246,Bakuten Shoot Beyblade 2002: Beybattle Tournament 2,Takara,Takara,"August 1, 2002",Unreleased,Unreleased,
